time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,funding_open,funding_high,funding_low,funding_close,basis_open_basis,basis_close_basis,basis_open_change,basis_close_change,ls_global_global_account_long_percent,ls_global_global_account_short_percent,ls_global_global_account_long_short_ratio,ls_top_top_account_long_percent,ls_top_top_account_short_percent,ls_top_top_account_long_short_ratio
2025-03-17 23:00:00,Binance,BTCUSDT,1h,84061.19,84140.98,83746.12,84010.03,26966609.6818,0.00211,0.00211,0.000743,0.000743,0.0587,0.0561,49.29,47.13,57.24,42.76,1.34,60.07,39.93,1.5
2025-03-18 00:00:00,Binance,BTCUSDT,1h,84010.02,84021.74,83702.53,83790.24,23485018.5012,0.000743,0.000743,-0.000608,-0.000554,0.056,0.0449,47.02,37.64,56.67,43.33,1.31,59.53,40.47,1.47
2025-03-18 01:00:00,Binance,BTCUSDT,1h,83790.24,83915.98,83015.39,83161.97,75244032.4917,-0.000554,-0.000412,-0.001216,-0.001216,0.0451,0.0418,37.74,34.77,56.92,43.08,1.32,59.89,40.11,1.49
2025-03-18 02:00:00,Binance,BTCUSDT,1h,83161.98,83532.61,83081.67,83367.64,37134346.8842,-0.001216,-0.000671,-0.001224,-0.000759,0.0418,0.0508,34.78,42.34,58.55,41.45,1.41,61.27,38.73,1.58
2025-03-18 03:00:00,Binance,BTCUSDT,1h,83367.65,83367.65,82960.0,83147.6,49728331.5292,-0.000759,0.000261,-0.000934,0.000261,0.0508,0.0481,42.35,40.0,59.49,40.51,1.47,61.82,38.18,1.62
2025-03-18 04:00:00,Binance,BTCUSDT,1h,83147.6,83205.77,82838.8,82989.11,51591549.3052,0.000261,0.001321,0.000261,0.001321,0.0481,0.037,40.0,30.71,60.0,40.0,1.5,63.1,36.9,1.71
2025-03-18 05:00:00,Binance,BTCUSDT,1h,82989.11,83128.1,82895.57,83010.87,61747207.6016,0.001321,0.002399,0.001316,0.002399,0.037,0.0326,30.71,27.07,60.01,39.99,1.5,63.04,36.96,1.71
2025-03-18 06:00:00,Binance,BTCUSDT,1h,83010.86,83019.4,82244.68,82450.01,101943950.6182,0.002399,0.002575,0.002318,0.002382,0.0326,0.0522,27.06,43.01,60.93,39.07,1.56,63.84,36.16,1.77
2025-03-18 07:00:00,Binance,BTCUSDT,1h,82450.02,83280.0,82358.69,83163.81,98912592.8303,0.002382,0.002459,0.002019,0.002068,0.0521,0.0469,42.92,39.01,63.0,37.0,1.7,65.95,34.05,1.94
2025-03-18 08:00:00,Binance,BTCUSDT,1h,83163.81,83452.3,83048.71,83281.29,43860944.0712,0.002068,0.002293,0.001807,0.002293,0.047,0.0407,39.11,33.89,63.3,36.7,1.73,65.9,34.1,1.93
2025-03-18 09:00:00,Binance,BTCUSDT,1h,83281.29,83349.06,82780.0,82840.51,38117174.6759,0.002293,0.003512,0.002293,0.0035,0.0406,0.0332,33.79,27.51,63.35,36.65,1.73,65.82,34.18,1.93
2025-03-18 10:00:00,Binance,BTCUSDT,1h,82840.5,82942.1,82596.85,82819.65,39712511.9612,0.0035,0.004339,0.0035,0.004339,0.0333,0.0466,27.6,38.55,62.82,37.18,1.69,65.64,34.36,1.91
2025-03-18 11:00:00,Binance,BTCUSDT,1h,82819.65,82861.76,82500.0,82581.1,32595227.0836,0.004339,0.004458,0.00397,0.00407,0.0466,0.0377,38.55,31.1,64.12,35.88,1.79,66.82,33.18,2.01
2025-03-18 12:00:00,Binance,BTCUSDT,1h,82581.09,82821.6,82330.38,82404.66,54384255.066,0.00407,0.004312,0.003544,0.003711,0.0375,0.0446,30.99,36.76,64.14,35.86,1.79,66.92,33.08,2.02
2025-03-18 13:00:00,Binance,BTCUSDT,1h,82404.65,82480.47,81134.66,81366.64,169421813.5575,0.003711,0.004151,0.003689,0.004151,0.0445,0.0446,36.65,36.24,64.67,35.33,1.83,67.15,32.85,2.04
